fund,aum_2026,aum_2025,aum_yoy,benchmark,fund_hc_w,bm_hc_w,ow_uw_2026,deviation_2026,data_date,ow_uw_2025,deviation_2025,change_dev
Fund 1,3.3bn,3.6bn,-0.0871,MSCI China 10/40 Index,0.019,0.057,UW,-0.038000000000000006,2026-03-31,UW,-0.021,-0.017000000000000005
Fund 2,2.9bn,2.9bn,0.0121,MSCI China 10/40,0.068,0.057,OW,0.011000000000000003,2026-03-31,OW,0.042,-0.031
Fund 3,2.7bn,2.4bn,0.1134,MSCI China,0.029,0.05,UW,-0.021,2026-04-30,OW,0.013,-0.034
Fund 4,2.4bn,2.3bn,0.0326,MSCI China,0.01,0.053,UW,-0.043,2026-04-30,UW,-0.005,-0.038
Fund 5,1.2bn,1.3bn,-0.1134,MSCI China All-Share,0.115,0.0483,OW,0.06670000000000001,2026-03-31,OW,0.069,-0.0022999999999999965
Fund 6,995mn,1.0bn,-0.0046,MSCI China,0.115,0.05,OW,0.065,2026-03-31,OW,0.053,0.012000000000000004
Fund 7,1.0bn,1.0bn,0.0389,MSCI China 10/40 Index,,,N/A,,2026-03-31,UW,,
Fund 8,789mn,653mn,0.208269525,MSCI Golden Dragon Index,0.03,0.03,Neutral,0.0,2026-04-30,Slightly OW,0.002,-0.002
Fund 9,"2,609mn","2,515mn",0.0377,MSCI China,0.0477,0.0511,Neutral,-0.0034000000000000002,2026-03-31,UW,-0.005,0.0015999999999999999
Fund 10,378mn,356mn,0.0626,MSCI China Index,0.051,0.05,Neutral,0.000999999999999994,2026-03-31,UW,-0.008,0.008999999999999994
Fund 11,499mn,~446mn,0.1195,MSCI China 10/40 Index,0.033,0.032,Neutral,0.0010000000000000009,2026-03-31,UW,-0.02,0.021
Fund 12,35mn,41mn,-0.1459,MSCI China Index,0.0331,0.0504,UW,-0.017300000000000003,Q1 2026,UW,-0.016,-0.0013000000000000025
