name_cn,name_en,ticker,fy2024,fy2025,delta,pct,source,asof
信达生物,Innovent,01801.HK,5659,7502,1843,0.3257,"年报：2025年报「7,502名(2024:5,659)雇员」",2026-06-03
百济神州,BeiGene,688235.SH,11075,11825,750,0.0677,报告期：iFind 员工总数 20241231/20251231,2026-06-03
康方生物,Akeso,09926.HK,3035,3761,726,0.2392,"年报：2025业绩公告「3,761名雇员」(2024:3,035)",2026-06-03
恒瑞医药,Hengrui,600276.SH,20238,20602,364,0.018,报告期：iFind 员工总数 20241231/20251231,2026-06-03
翰森制药,Hansoh,03692.HK,8989,9347,358,0.0398,年报：2025业绩公告「九千三百四十七名全职雇员」,2026-06-03
复宏汉霖,Henlius,02696.HK,3515,3762,247,0.0703,报告期：iFind 员工总数 20241231/20251231,2026-06-03
康诺亚,Keymed,02162.HK,1258,1469,211,0.1677,报告期：iFind 员工总数 20241231/20251231,2026-06-03
科伦博泰,Kelun-Biotech,06990.HK,1837,2045,208,0.1132,"日频：iFind 员工总数 年末回填(1,837→2,045)",2026-06-03
诺诚健华,InnoCare,688428.SH,1146,1259,113,0.0986,报告期：iFind 员工总数 20241231/20251231,2026-06-03
荣昌生物,RemeGen,688331.SH,2999,3048,49,0.0163,报告期：iFind 员工总数 20241231/20251231,2026-06-03
石药集团,CSPC,01093.HK,21379,19693,-1686,-0.0789,"ESG：2025 ESG报告 员工总数 19,693(2024:21,379)",2026-06-03
中国生物制药,Sino Biopharm,01177.HK,24379,21435,-2944,-0.1208,"年报：2025业绩公告「21,435名雇员」(2024:24,379)",2026-06-03
