domain,sub_sector,ticker,name,aum,expense_ratio,price,year_high,year_low,ret_1m,ret_3m,ret_ytd,ret_1y,ret_3y,ret_5y,vol,max_dd
healthcare,Broad,XLV,State Street Health Care Select Sector SPDR ETF,41749876736.0,0.08,171.16,176.6,133.73,2.58,14.22,11.79,27.46,34.93,6.69,14.99,-17.11
healthcare,Broad,VHT,Vanguard Health Care Index Fund ETF Shares,20899461120.0,0.09,320.96,330.75,249.57,3.1,15.0,12.99,29.12,38.21,5.9,15.25,-17.71
healthcare,Broad,IYH,iShares U.S. Healthcare ETF,3563080704.0,0.38,72.31,74.59,56.44,3.33,14.63,12.2,27.36,33.98,5.75,15.21,-17.91
healthcare,Biotech,IBB,iShares Biotechnology ETF,9212572672.0,0.44,208.95,217.12,138.79,12.74,24.73,27.38,55.38,69.09,4.85,22.46,-39.82
healthcare,Biotech,XBI,State Street SPDR S&P Biotech ETF,9625333760.0,0.35,162.38,169.89,91.1,12.32,23.83,38.11,87.17,114.48,5.1,32.42,-63.89
healthcare,Pharma,XPH,State Street SPDR S&P Pharmaceuticals ETF,489385600.0,0.35,70.79,74.35,45.8,4.94,23.73,29.56,54.06,72.32,9.8,20.93,-34.99
healthcare,Pharma,PPH,VanEck Pharmaceutical ETF,925599424.0,0.36,113.62,118.0,85.91,0.43,8.52,12.1,31.11,47.24,10.64,15.41,-20.26
healthcare,Devices,IHI,iShares U.S. Medical Devices ETF,3254021376.0,0.37,55.19,64.71,47.37,3.66,10.85,-11.91,-11.65,6.81,-2.94,19.16,-33.12
healthcare,Providers,IHF,iShares U.S. Healthcare Providers ETF,1253965952.0,0.37,56.85,58.3,40.85,-1.46,13.24,19.93,23.59,17.39,2.45,18.97,-29.85
healthcare,Genomics,ARKG,ARK Genomic Revolution ETF,1557225600.0,0.75,47.64,50.535,24.2,31.86,46.16,72.14,101.74,61.97,-9.98,45.72,-83.59
