ticker,name,score,pick_date,benchmark,sector,yf_sym
3968.HK,招商银行,87,2026-03-20,3110.HK,金融业,3968.HK
0300.HK,美的集团,83,2026-03-20,3110.HK,非必需性消费,0300.HK
1088.HK,中国神华,80,2026-03-20,3110.HK,能源业,1088.HK
6690.HK,海尔智家,76,2026-03-20,3110.HK,非必需性消费,6690.HK
3998.HK,波司登,74,2026-03-20,3110.HK,非必需性消费,3998.HK
1209.HK,华润万象生活,74,2026-03-20,3110.HK,地产建筑业,1209.HK
1919.HK,中远海控,73,2026-03-20,3110.HK,工业,1919.HK
1398.HK,工商银行,73,2026-03-20,3110.HK,金融业,1398.HK
6823.HK,香港电讯-SS,73,2026-03-20,3110.HK,电讯业,6823.HK
0728.HK,中国电信,72,2026-03-20,3110.HK,电讯业,0728.HK
1044.HK,恒安国际,71,2026-03-20,3110.HK,必需性消费,1044.HK
0939.HK,建设银行,71,2026-03-20,3110.HK,金融业,0939.HK
1288.HK,农业银行,71,2026-03-20,3110.HK,金融业,1288.HK
2388.HK,中银香港,70,2026-03-20,3110.HK,金融业,2388.HK
0576.HK,浙江沪杭甬,70,2026-03-20,3110.HK,工业,0576.HK
0144.HK,招商局港口,69,2026-03-20,3110.HK,工业,0144.HK
3988.HK,中国银行,68,2026-03-20,3110.HK,金融业,3988.HK
1336.HK,新华保险,68,2026-03-20,3110.HK,金融业,1336.HK
3360.HK,远东宏信,67,2026-03-20,3110.HK,金融业,3360.HK
1658.HK,邮储银行,67,2026-03-20,3110.HK,金融业,1658.HK
0322.HK,康师傅控股,67,2026-03-20,3110.HK,必需性消费,0322.HK
0998.HK,中信银行,67,2026-03-20,3110.HK,金融业,0998.HK
3328.HK,交通银行,65,2026-03-20,3110.HK,金融业,3328.HK
6862.HK,海底捞,64,2026-03-20,3110.HK,非必需性消费,6862.HK
0220.HK,统一企业中国,64,2026-03-20,3110.HK,必需性消费,0220.HK
6818.HK,中国光大银行,62,2026-03-20,3110.HK,金融业,6818.HK
3877.HK,中国船舶租赁,62,2026-03-20,3110.HK,工业,3877.HK
6655.HK,华新建材,62,2026-03-20,3110.HK,地产建筑业,6655.HK
1908.HK,建发国际集团,62,2026-03-20,3110.HK,地产建筑业,1908.HK
0293.HK,国泰航空,59,2026-03-20,3110.HK,非必需性消费,0293.HK
3933.HK,联邦制药,57,2026-03-20,3110.HK,医疗保健业,3933.HK
1066.HK,威高股份,56,2026-03-20,3110.HK,医疗保健业,1066.HK
3618.HK,重庆农村商业银行,54,2026-03-20,3110.HK,金融业,3618.HK
6963.HK,阳光保险,50,2026-03-20,3110.HK,金融业,6963.HK
