rank,ticker,name,score,pick_date,benchmark,yf_sym,sector,bucket,runrate_pct,weight_pct
1,0300.HK,美的集团,84,2026-06-11,3466.HK,0300.HK,消费,nonrate,4.49,6.41
2,3968.HK,招商银行,83,2026-06-11,3466.HK,3968.HK,银行,rate,4.83,5.55
3,6690.HK,海尔智家,78,2026-06-11,3466.HK,6690.HK,消费,nonrate,5.42,5.74
4,2318.HK,中国平安,75,2026-06-11,3466.HK,2318.HK,保险,rate,5.49,4.77
5,0883.HK,中国海洋石油,74,2026-06-11,3466.HK,0883.HK,石油,nonrate,5.24,5.30
6,1193.HK,华润燃气,71,2026-06-11,3466.HK,1193.HK,燃气,rate,5.65,4.39
7,0576.HK,浙江沪杭甬,70,2026-06-11,3466.HK,0576.HK,交通,nonrate,6.92,4.88
8,2688.HK,新奥能源,70,2026-06-11,3466.HK,2688.HK,燃气,rate,6.01,4.30
9,0135.HK,昆仑能源,67,2026-06-11,3466.HK,0135.HK,燃气,rate,5.37,4.03
10,1910.HK,新秀丽,66,2026-06-11,3466.HK,1910.HK,消费,nonrate,6.01,4.47
11,2282.HK,美高梅中国,66,2026-06-11,3466.HK,2282.HK,博彩,nonrate,6.33,4.47
12,1398.HK,工商银行,65,2026-06-11,3466.HK,1398.HK,银行,rate,5.18,3.85
13,1066.HK,威高股份,65,2026-06-11,3466.HK,1066.HK,医药,nonrate,5.45,4.37
14,0939.HK,建设银行,65,2026-06-11,3466.HK,0939.HK,银行,rate,5.46,3.85
15,1071.HK,华电国际电力,64,2026-06-11,3466.HK,1071.HK,电力,rate,5.90,3.76
16,0998.HK,中信银行,62,2026-06-11,3466.HK,0998.HK,银行,rate,5.76,3.58
17,1288.HK,农业银行,62,2026-06-11,3466.HK,1288.HK,银行,rate,5.05,3.58
18,0857.HK,中国石油股份,61,2026-06-11,3466.HK,0857.HK,石油,nonrate,5.33,3.97
19,3618.HK,重庆农村商业银行,60,2026-06-11,3466.HK,3618.HK,银行,rate,5.67,3.41
20,1658.HK,邮储银行,59,2026-06-11,3466.HK,1658.HK,银行,rate,5.99,3.33
