version,num,held,tick,name,sector,gov,fin,moat,final,status,seg_ret
hd_v1,1,True,3968.HK,招商银行,金融业,49,22,16,87,优秀,-1.3
hd_v1,2,True,0300.HK,美的集团,非必需性消费,46,21,16,83,优秀,8.2
hd_v1,3,True,1088.HK,中国神华,能源业,45,20,15,80,优秀,-7.4
hd_v1,4,True,6690.HK,海尔智家,非必需性消费,42,19,15,76,良好,-12.1
hd_v1,5,True,1209.HK,华润万象生活,地产建筑业,40,18,16,74,良好,-4.1
hd_v1,6,True,3998.HK,波司登,非必需性消费,41,19,14,74,良好,2.2
hd_v1,7,True,1919.HK,中远海控,工业,40,19,14,73,良好,-8.1
hd_v1,8,True,1398.HK,工商银行,金融业,40,17,16,73,良好,8.8
hd_v1,9,True,6823.HK,香港电讯-SS,电讯业,40,17,16,73,良好,1.7
hd_v1,10,True,0728.HK,中国电信,电讯业,39,17,16,72,良好,0.8
hd_v1,11,True,1288.HK,农业银行,金融业,38,18,15,71,良好,12.3
hd_v1,12,True,0939.HK,建设银行,金融业,39,17,15,71,良好,7.5
hd_v1,13,True,1044.HK,恒安国际,必需性消费,38,16,17,71,良好,-8.4
hd_v1,14,True,2388.HK,中银香港,金融业,38,16,16,70,良好,15.0
hd_v1,15,True,0576.HK,浙江沪杭甬,工业,0,0,0,70,良好,2.3
hd_v1,16,True,0144.HK,招商局港口,工业,37,16,16,69,中等,-13.3
hd_v1,17,True,1336.HK,新华保险,金融业,0,0,0,68,中等,-4.9
hd_v1,18,True,3988.HK,中国银行,金融业,38,16,14,68,中等,14.3
hd_v1,19,True,0322.HK,康师傅控股,必需性消费,36,16,15,67,中等,-8.6
hd_v1,20,True,0998.HK,中信银行,金融业,36,17,14,67,中等,5.1
hd_v1,21,False,3360.HK,远东宏信,金融业,36,16,15,67,中等,2.9
hd_v1,22,False,1658.HK,邮储银行,金融业,37,16,14,67,中等,2.8
hd_v1,23,False,3328.HK,交通银行,金融业,37,15,13,65,中等,8.1
hd_v1,24,False,0220.HK,统一企业中国,必需性消费,0,0,0,64,中等,1.5
hd_v1,25,False,6862.HK,海底捞,非必需性消费,0,0,0,64,中等,-20.3
hd_v1,26,False,6818.HK,中国光大银行,金融业,35,14,13,62,中等,0.9
hd_v1,27,False,1908.HK,建发国际集团,地产建筑业,55,25,20,62,中等,23.3
hd_v1,28,False,6655.HK,华新建材,地产建筑业,0,0,0,62,中等,-9.5
hd_v1,29,False,3877.HK,中国船舶租赁,工业,0,0,0,62,中等,4.6
hd_v1,30,False,0293.HK,国泰航空,非必需性消费,32,13,14,59,一般,-0.8
hd_v1,31,False,3933.HK,联邦制药,医疗保健业,28,13,16,57,一般,-19.6
hd_v1,32,False,1066.HK,威高股份,医疗保健业,30,12,14,56,一般,-24.6
hd_v1,33,False,3618.HK,重庆农村商业银行,金融业,30,13,11,54,一般,4.7
hd_v1,34,False,6963.HK,阳光保险,金融业,27,11,12,50,一般,-3.5
hd_v2,1,True,0300.HK,美的集团,消费,47,20,17,84,优秀,1.4
hd_v2,2,True,3968.HK,招商银行,银行,46,20,17,83,优秀,-4.5
hd_v2,3,True,6690.HK,海尔智家,消费,44,18,16,78,良好,-6.6
hd_v2,4,True,2318.HK,中国平安,保险,41,18,16,75,良好,-8.0
hd_v2,5,True,0883.HK,中国海洋石油,石油,43,16,15,74,良好,-14.6
hd_v2,6,False,3606.HK,福耀玻璃,消费,40,19,15,74,良好,-0.4
hd_v2,7,True,1193.HK,华润燃气,燃气,40,14,17,71,良好,-12.5
hd_v2,8,True,0576.HK,浙江沪杭甬,交通,38,15,17,70,良好 · KS-FCF-MARGIN-RAZOR,-4.7
hd_v2,9,False,2328.HK,中国财险,保险,36,19,15,70,良好,0.7
hd_v2,10,True,2688.HK,新奥能源,燃气,38,15,17,70,良好 · KS-FCF-MARGIN-RAZOR,-16.3
hd_v2,11,False,6862.HK,海底捞,消费,35,19,15,69,良好,-11.5
hd_v2,12,False,0066.HK,港铁公司,地产,38,13,17,68,良好,-1.3
hd_v2,13,True,0135.HK,昆仑能源,燃气,37,14,16,67,良好,-4.5
hd_v2,14,False,1929.HK,周大福,消费,37,17,13,67,良好,2.2
hd_v2,15,False,0856.HK,伟仕佳杰,科技,36,18,12,66,良好,-8.6
hd_v2,16,True,1910.HK,新秀丽,消费,37,15,14,66,良好,1.2
hd_v2,17,True,2282.HK,美高梅中国,博彩,35,16,15,66,良好,-1.9
hd_v2,18,False,0027.HK,银河娱乐,gaming,34,17,14,65,良好,-1.6
hd_v2,19,False,0728.HK,中国电信,电讯,35,13,17,65,良好,-12.4
hd_v2,20,True,0939.HK,建设银行,银行,35,16,14,65,良好,-7.6
hd_v2,21,True,1066.HK,威高股份,医药,37,16,12,65,良好,-3.6
hd_v2,22,True,1398.HK,工商银行,银行,36,14,15,65,良好,-7.0
hd_v2,23,False,1766.HK,中国中车,machinery,38,10,17,65,良好,-11.8
hd_v2,24,True,1071.HK,华电国际电力,电力,36,14,14,64,良好,-15.8
hd_v2,25,False,1109.HK,华润置地,地产,40,13,11,64,良好,-12.0
hd_v2,26,True,0998.HK,中信银行,银行,35,13,14,62,良好,-10.9
hd_v2,27,False,1099.HK,国药控股,医药流通,36,14,12,62,良好,6.5
hd_v2,28,True,1288.HK,农业银行,银行,33,15,14,62,良好,-8.5
hd_v2,29,True,0857.HK,中国石油股份,石油,35,14,12,61,良好,-9.8
hd_v2,30,False,0902.HK,华能国际电力,电力,34,13,14,61,良好,-17.9
hd_v2,31,False,0303.HK,伟易达,消费,35,13,12,60,良好 · KS-PAYOUT-OVERDRAW-WATCH,-3.8
hd_v2,32,True,3618.HK,重庆农村商业银行,银行,34,13,13,60,良好,-7.6
hd_v2,33,False,0220.HK,统一企业中国,消费,27,18,14,59,一般 · KS-GOV-UNQUALIFIED,3.8
hd_v2,34,False,0291.HK,华润啤酒,消费,31,14,14,59,一般,-5.6
hd_v2,35,True,1658.HK,邮储银行,银行,33,13,13,59,一般,-7.5
hd_v2,36,False,3988.HK,中国银行,银行,33,12,14,59,一般,-8.1
hd_v2,37,False,1044.HK,恒安国际,消费,34,14,10,58,一般,-5.8
hd_v2,38,False,2333.HK,长城汽车,消费,32,14,12,58,一般,-11.8
hd_v2,39,False,2883.HK,中海油田服务,oil_services,34,12,12,58,一般,-16.3
hd_v2,40,False,2145.HK,上美股份,消费,26,19,12,57,一般 · KS-GOV-UNQUALIFIED,-22.3
hd_v2,41,False,3328.HK,交通银行,银行,32,12,13,57,一般,-9.2
hd_v2,42,False,2648.HK,安井食品,消费,30,13,13,56,一般,-5.3
hd_v2,43,False,1898.HK,中煤能源,煤炭,33,11,11,55,一般 · KS-COVERAGE-THIN,-14.7
hd_v2,44,False,6963.HK,阳光保险,保险,30,14,11,55,一般,6.2
hd_v2,45,False,1478.HK,丘钛科技,科技,31,14,9,54,一般 · KS-CYCLICAL-PEAK,-18.3
hd_v2,46,False,0293.HK,国泰航空,airline,28,12,13,53,一般 · KS-GOV-UNQUALIFIED;KS-CYCLICAL-PEAK;KS-DIVIDEND-UNSUSTAINABLE,14.8
hd_v2,47,False,2611.HK,国泰海通,fin_other,28,13,12,53,一般 · KS-GOV-UNQUALIFIED,5.1
hd_v2,48,False,1378.HK,中国宏桥,aluminum_metal,26,13,13,52,一般 · KS-GOV-UNQUALIFIED;KS-COVERAGE-BELOW-1X;KS-CYCLICAL-PEAK,-21.9
hd_v2,49,False,1908.HK,建发国际集团,地产,32,11,9,52,一般,-7.7
hd_v2,50,False,1919.HK,中远海控,航运,29,11,11,51,一般 · KS-GOV-UNQUALIFIED;KS-CYCLICAL-PEAK;KS-DIVIDEND-UNSUSTAINABLE,-1.4
hd_v2,51,False,3360.HK,远东宏信,fin_other,33,8,9,50,一般 · KS-COVERAGE-BELOW-1X,-15.2
hd_v2,52,False,2245.HK,力勤资源,镍金属,26,12,10,48,一般 · KS-GOV-UNQUALIFIED;KS-CYCLICAL-PEAK,9.4
hd_v2,53,False,2517.HK,锅圈,消费,23,14,10,47,一般 · KS-GOV-UNQUALIFIED,-15.7
hd_v2,54,False,6069.HK,盛业,fin_other,20,18,9,47,一般 · KS-GOV-UNQUALIFIED;KS-DIVIDEND-UNSUSTAINABLE,-5.3
