code,name_cn,ipo_date,offer_price_hkd,close,ret_pct,ret_base,broke,cur_mktcap_yi,listing_mktcap_yi,mktcap_tier,avg_turnover_usdm,liquidity_tier,trading_days,suspended,trade_status,is_18a,no_offer,is_ai_pharma,sub_sector,founding_year,clean
9606.HK,映恩生物-B,2025-04-15,94.6,208.0,119.9,发行价,False,189.2,86.0,中市值,33.28,>$20M,302,False,交易,True,False,False,生物科技Ⅲ,2019,True
1276.HK,恒瑞医药,2025-05-23,44.05,59.1,34.2,发行价,False,3922.6,2923.7,大市值,31.39,>$20M,278,False,交易,False,False,False,制药,1997,True
2629.HK,MIRXES-B,2025-05-23,23.3,12.41,-46.7,发行价,True,37.0,69.5,小市值,,停牌,278,True,停牌一天,True,False,False,生物科技Ⅲ,2020,False
2565.HK,派格生物医药-B,2025-05-27,15.6,5.52,-64.6,发行价,True,21.6,61.0,小市值,10.45,$10-20M,276,False,交易,True,False,False,制药,2008,True
2617.HK,药捷安康-B,2025-06-23,13.15,10.69,-18.7,发行价,True,43.6,53.6,小市值,29.15,>$20M,257,False,交易,True,False,False,制药,2014,True
2609.HK,佰泽医疗,2025-06-23,4.22,2.96,-29.9,发行价,True,39.0,55.6,小市值,12.09,$10-20M,257,False,交易,False,False,False,医疗保健技术Ⅲ,2021,True
3880.HK,泰德医药,2025-06-30,30.6,22.6,-26.1,发行价,True,32.0,43.4,小市值,0.29,<$10M,252,False,交易,False,False,False,医疗保健设备与用品,2020,True
2592.HK,拨康视云-B,2025-07-03,10.1,1.19,-88.2,发行价,True,10.5,89.2,小市值,0.05,<$10M,250,False,交易,True,False,False,生命科学工具和服务Ⅲ,2020,True
2651.HK,大众口腔,2025-07-09,20.0,19.45,-2.8,发行价,True,9.6,9.9,小市值,0.24,<$10M,246,False,交易,False,False,False,医疗保健提供商与服务,2007,True
9887.HK,维立志博-B,2025-07-25,35.0,49.72,42.1,发行价,False,98.9,69.6,小市值,4.33,<$10M,234,False,交易,True,False,False,生物科技Ⅲ,2012,True
6887.HK,东阳光药,2025-08-07,,36.74,-38.7,上市首日,,211.9,,中市值,2.1,<$10M,225,False,交易,False,True,False,制药,2003,False
2627.HK,中慧生物-B,2025-08-11,12.9,29.32,127.3,发行价,False,115.4,50.8,中市值,,停牌,223,True,停牌一天,True,False,False,生物科技Ⅲ,2015,False
2591.HK,银诺医药-B,2025-08-15,18.68,7.67,-58.9,发行价,True,35.0,85.3,小市值,3.92,<$10M,219,False,交易,True,False,False,医疗保健技术Ⅲ,2014,True
2656.HK,健康160,2025-09-17,11.89,10.34,-13.0,发行价,True,34.8,40.0,小市值,9.79,<$10M,196,False,交易,False,False,False,医疗保健技术Ⅲ,2022,True
2595.HK,劲方医药-B,2025-09-19,20.39,32.96,61.6,发行价,False,122.1,75.5,中市值,9.05,<$10M,194,False,交易,True,False,False,生物科技Ⅲ,2017,True
2652.HK,长风药业,2025-10-08,14.75,17.45,18.3,发行价,False,71.9,60.8,小市值,1.75,<$10M,183,False,交易,False,False,False,制药,2013,True
2575.HK,轩竹生物-B,2025-10-15,11.6,13.81,19.1,发行价,False,71.5,60.1,小市值,3.15,<$10M,178,False,交易,True,False,False,生物科技Ⅲ,2018,True
