code,ticker_yf,futu_code,name_cn,name_en,ipo_date,offer_price_hkd,total_shares,sub_sector,is_ai_pharma,is_18a,no_offer,founding_year
9606.HK,9606.HK,HK.09606,映恩生物-B,DUALITYBIO-B,2025-04-15,94.6,91224314.0,生物科技Ⅲ,False,True,False,2019
1276.HK,1276.HK,HK.01276,恒瑞医药,HENGRUI PHARMA,2025-05-23,44.05,6637199874.0,制药,False,False,False,1997
2629.HK,2629.HK,HK.02629,MIRXES-B,MIRXES-B,2025-05-23,23.3,298230331.0,生物科技Ⅲ,False,True,False,2020
2565.HK,2565.HK,HK.02565,派格生物医药-B,PEGBIO CO-B,2025-05-27,15.6,391091532.0,制药,False,True,False,2008
2617.HK,2617.HK,HK.02617,药捷安康-B,TRANSTHERA-B,2025-06-23,13.15,407918633.0,制药,False,True,False,2014
2609.HK,2609.HK,HK.02609,佰泽医疗,BAYZED HEALTH,2025-06-23,4.22,1318466822.9999998,医疗保健技术Ⅲ,False,False,False,2021
3880.HK,3880.HK,HK.03880,泰德医药,MEDTIDE,2025-06-30,30.6,141800000.0,医疗保健设备与用品,False,False,False,2020
2592.HK,2592.HK,HK.02592,拨康视云-B,CLOUDBREAK-B,2025-07-03,10.1,924692316.0,生命科学工具和服务Ⅲ,False,True,False,2020
2651.HK,2651.HK,HK.02651,大众口腔,DAZHONG DENTAL,2025-07-09,20.0,50579042.0,医疗保健提供商与服务,False,False,False,2007
9887.HK,9887.HK,HK.09887,维立志博-B,LEADS BIOLABS-B,2025-07-25,35.0,198891800.0,生物科技Ⅲ,False,True,False,2012
6887.HK,6887.HK,HK.06887,东阳光药,SUNSHINE PHARMA,2025-08-07,,576656047.0,制药,False,False,True,2003
2627.HK,2627.HK,HK.02627,中慧生物-B,AB&B BIO-TECH-B,2025-08-11,12.9,393442600.0,生物科技Ⅲ,False,True,False,2015
2591.HK,2591.HK,HK.02591,银诺医药-B,INNOGEN-B,2025-08-15,18.68,456819349.0,医疗保健技术Ⅲ,False,True,False,2014
2656.HK,2656.HK,HK.02656,健康160,160 HEALTH,2025-09-17,11.89,347240580.0,医疗保健技术Ⅲ,False,False,False,2022
2595.HK,2595.HK,HK.02595,劲方医药-B,GENFLEET-B,2025-09-19,20.39,383966630.0,生物科技Ⅲ,False,True,False,2017
2652.HK,2652.HK,HK.02652,长风药业,CF PHARMTECH,2025-10-08,14.75,433726087.0,制药,False,False,False,2013
2575.HK,2575.HK,HK.02575,轩竹生物-B,XUANZHUBIO-B,2025-10-15,11.6,517947790.0,生物科技Ⅲ,False,True,False,2018
2637.HK,2637.HK,HK.02637,海西新药,HAIXI PHARMA,2025-10-20,86.4,78707270.0,制药,False,False,False,2012
2630.HK,2630.HK,HK.02630,旺山旺水-B,VIGONVITA-B,2025-11-06,33.37,167597800.0,生物科技Ⅲ,False,True,False,2013
2659.HK,2659.HK,HK.02659,宝济药业-B,BAO PHARMA-B,2025-12-10,26.38,325981465.0,生物科技Ⅲ,False,True,False,2019
2396.HK,2396.HK,HK.02396,青城新药-B,B&K CORP-B,2025-12-22,38.2,117657522.00000001,生物科技Ⅲ,False,True,False,2012
