date,close,source,asof
2021-07-30,6797.79,Wind 指数月收盘(末点最新交易日),2026-08-28
2021-08-31,6189.86,Wind 指数月收盘(末点最新交易日),2026-08-28
2021-09-30,6055.17,Wind 指数月收盘(末点最新交易日),2026-08-28
2021-10-29,5533.48,Wind 指数月收盘(末点最新交易日),2026-08-28
2021-11-30,5386.32,Wind 指数月收盘(末点最新交易日),2026-08-28
2021-12-31,4726.51,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-01-28,4040.59,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-02-28,4042.98,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-03-31,3675.7,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-04-29,3379.05,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-05-31,3354.39,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-06-30,3844.93,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-07-29,3620.03,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-08-31,3461.51,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-09-30,2816.6,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-10-31,2790.86,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-11-30,3571.49,Wind 指数月收盘(末点最新交易日),2026-08-28
2022-12-30,3812.62,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-01-31,4114.84,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-02-28,3683.29,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-03-31,3491.7,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-04-28,3601.89,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-05-31,3126.47,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-06-30,2981.44,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-07-31,3239.02,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-08-31,2925.05,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-09-28,2897.64,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-10-31,3043.83,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-11-30,3087.24,Wind 指数月收盘(末点最新交易日),2026-08-28
2023-12-29,2877.71,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-01-31,2186.31,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-02-29,2456.25,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-03-29,2268.46,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-04-30,2286.03,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-05-31,2204.2,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-06-28,2083.51,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-07-31,2098.4,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-08-30,2176.41,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-09-30,2736.02,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-10-31,2422.17,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-11-29,2411.19,Wind 指数月收盘(末点最新交易日),2026-08-28
2024-12-31,2332.91,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-01-27,2342.9,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-02-28,2720.31,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-03-31,2921.43,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-04-30,2953.49,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-05-30,3182.64,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-06-30,3450.04,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-07-31,4236.57,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-08-29,4325.82,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-09-30,4551.28,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-10-31,4048.32,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-11-28,4044.78,Wind 指数月收盘(末点最新交易日),2026-08-28
2025-12-31,3661.52,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-01-30,3974.92,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-02-27,3889.51,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-03-31,3688.14,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-04-30,3730.51,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-05-29,3383.26,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-06-30,3158.04,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-07-31,3454.09,Wind 指数月收盘(末点最新交易日),2026-08-28
2026-08-28,3911.11,Wind 指数月收盘(末点最新交易日),2026-08-28
