code,name_cn,name_en,score,tier,list_date,day1_ret,sub_sector,offer_price,day1_close,status,source,cum_ret,px_asof
1879,曦智科技,Lightelligence,8.3,重点申购+,2026-04-28,3.84,光子AI芯片,183.2,886,listed,CMSI棱镜后测卡,0.3690,2026-07-29
7666,剂泰科技-P,,7.8,重点申购+,2026-05-13,1.2667,AI制药(18A),10.5,23.8,listed,CMSI棱镜后测卡/2026-07-29实绩订正,-0.0600,2026-07-29
7688,拓璞数控,SHANGHAI TOP NC,7.67,重点申购,2026-05-20,0.8,高端数控机床,26.39,47.5,listed,futu首日收盘,-0.5218,2026-07-29
3296,华勤技术,Huaqin,7.2,推荐申购,2026-04-23,0.1326,智能硬件ODM,77.7,88.0,listed,CMSI棱镜后测卡/2026-07-29实绩订正,0.1343,2026-07-29
1511,馭勢科技,UISEE,6.72,推荐申购,2026-05-20,-0.046,L4自动驾驶,60.3,57.5,listed,futu首日收盘,-0.0145,2026-07-29
1609,天星医疗,,6.2,推荐申购,2026-05-05,1.18,AI医疗器械,98.5,215,listed,CMSI棱镜后测卡,0.2867,2026-07-29
7630,英派药业-B,,6.2,推荐申购,2026-05-13,1.0826,创新药(18A),20.1,41.86,listed,CMSI棱镜后测卡/2026-07-29实绩订正,-0.4597,2026-07-29
1236,乐动机器人,,6.0,推荐申购,2026-05-11,1.28,服务机器人,26.36,60,listed,CMSI棱镜后测卡,0.2031,2026-07-29
2493,迈威生物-B,Mabwell,5.8,谨慎申购,2026-04-28,0.006,创新药(18A),27.64,,listed,CMSI棱镜后测卡,-0.1850,2026-07-29
6810,商米科技,SUNMI,5.7,谨慎申购,2026-04-29,2.41,AI边缘设备,24.86,84.8,listed,CMSI棱镜后测卡,1.2619,2026-07-29
6871,翼菲科技,,5.64,谨慎申购,2026-05-18,0.762,工业机器人,30.5,53.75,listed,CMSI棱镜后测卡,-0.1608,2026-07-29
1187,可孚医疗,Cofoe,4.6,不申购,2026-05-06,-0.01,家用医疗器械,39.33,38.9,listed,CMSI棱镜后测卡,-0.0553,2026-07-29
3310,云英谷,VIEWTRIX TECH,7.2,推荐申购,2026-05-27,0.917,显示驱动芯片,20.81,39.9,listed,futu首日收盘,0.1665,2026-07-29
3388,创想三维,CREALITY,7.1,推荐申购,2026-05-29,0.213,消费级3D打印,18.8,22.8,listed,futu首日收盘,-0.0541,2026-07-29
6872,丹诺医药-B,TenNor Therapeutics,6.4,推荐申购,2026-05-22,1.787,抗感染创新药(18A),75.7,211.0,listed,futu首日收盘,1.2032,2026-07-29
901,华曦达,SDMC,5.9,谨慎申购,2026-05-27,0.866,智能家居硬件,32.8,61.2,listed,futu首日收盘,1.0200,2026-07-29
2723,深演智能,DeepZero,5.5,谨慎申购,2026-05-27,2.658,AI营销决策,55.5,203.0,listed,futu首日收盘+iFind定价,9.6496,2026-07-29
2553,首钢朗泽,Beijing Shougang LanzaTech,5.5,谨慎申购,2026-06-03,0.4425,CCUS合成生物,14.6,21.06,listed,futu/iFind/CMSI首日,0.5000,2026-07-29
1779,天辰生物-B,LongBio Pharma,5.4,谨慎申购,2026-06-05,0.372,抗IgE创新药(18A),96.06,131.8,listed,iFind首日收盘,-0.0319,2026-07-29
1081,大金重工,DAJIN Heavy Industry,5.7,谨慎申购,2026-06-05,0.0,海上风电塔筒/单桩,66.4,66.4,listed,iFind首日收盘,-0.4578,2026-07-29
6658,溜溜果园,Liuliu Guoyuan,5.27,谨慎申购,2026-06-15,1.9372,青梅果类零食龙头,43.58,128.0,listed,iFind首日收盘/CMSI棱镜评分卡,2.4214,2026-07-29
6675,琻捷电子,SENASIC,5.65,谨慎申购,2026-06-17,1.2712,汽车无线传感SoC,18.36,41.7,listed,iFind首日收盘/CMSI棱镜评分卡,0.3616,2026-07-29
1392,海清智元,HQVT,4.21,不申购,2026-06-22,2.7083,多光谱AI视觉,7.2,26.7,listed,iFind首日收盘/CMSI棱镜评分卡,0.7375,2026-07-29
6067,星源材质,Senior Tech,6.1,推荐申购,2026-06-23,0.2249,锂电隔膜(A+H),8.98,11.0,listed,iFind首日收盘/CMSI棱镜评分卡,-0.1982,2026-07-29
6132,华健未来-B,HJB,4.51,谨慎申购,2026-06-23,-0.5689,自免代谢创新药(18A),81.8,35.26,listed,iFind首日收盘/CMSI棱镜评分卡,-0.4743,2026-07-29
2335,麦科医药-B,MICOT,4.13,不申购,2026-06-24,1.0275,创新药平台(18A),18.2,36.9,listed,iFind首日收盘/CMSI棱镜评分卡,0.5033,2026-07-29
6106,仙工智能,SEER Robotics,5.05,谨慎申购,2026-06-24,0.0433,移动机器人AMR控制器,101.6,106.0,listed,iFind首日收盘/CMSI棱镜评分卡,-0.5650,2026-07-29
1688,领益智造,Lingyi iTech,5.8,谨慎申购,2026-06-26,-0.0462,AI终端精密功能件(A+H),10.18,9.71,listed,iFind首日收盘/CMSI棱镜评分卡,-0.3812,2026-07-29
1956,中科闻歌,Wenge AI,4.26,不申购,2026-06-26,0.8402,AI大模型(18C),60.7,111.7,listed,iFind首日收盘/CMSI棱镜评分卡,0.0165,2026-07-29
2272,科拓股份,Keytop,5.03,谨慎申购,2026-06-26,2.0392,智慧停车运营,39.55,120.2,listed,iFind首日收盘/CMSI棱镜评分卡,1.7358,2026-07-29
3661,圣邦微,SG Micro,7.5,重点申购,2026-06-26,0.4707,模拟芯片(A+H),85.2,125.3,listed,iFind首日收盘/CMSI棱镜评分卡,0.0094,2026-07-29
6228,MERDEKAGOLD,Merdeka Gold DRs,5.41,谨慎申购,2026-06-26,-0.0654,印尼金矿(预托证券),26.6,24.86,listed,iFind首日收盘/CMSI棱镜评分卡,-0.0030,2026-07-29
9630,芯碁微装,CFMEE,7.8,重点申购,2026-06-26,1.0377,PCB直写光刻设备(A+H),252.73,515.0,listed,iFind首日收盘/CMSI棱镜评分卡,0.1182,2026-07-29
2697,真健康医疗-B,Truehealth,5.95,谨慎申购,2026-06-30,2.1696,穿刺手术机器人(18A),126.2,400.0,listed,iFind首日收盘/CMSI棱镜评分卡,3.2235,2026-07-29
3952,来福谐波,Laifual Drive,6.5,推荐申购,2026-06-30,-0.1462,谐波减速器(人形机器人),85.5,73.0,listed,iFind首日收盘/CMSI棱镜评分卡,-0.3766,2026-07-29
6715,鲟龙科技,Kaluga Queen,5.22,谨慎申购,2026-06-30,0.5099,鱼子酱全球龙头,75.5,114.0,listed,iFind首日收盘/CMSI棱镜评分卡,-0.1212,2026-07-29
6915,江西生物,Jiangxi Biotech,5.22,谨慎申购,2026-06-30,-0.1268,破伤风抗毒素(TAT),11.2,9.78,listed,iFind首日收盘/CMSI棱镜评分卡,0.3839,2026-07-29
668,安克创新,Anker Innovations,5.67,谨慎申购,2026-07-02,0.1569,消费电子品牌(A+H),99.32,114.9,listed,iFind首日收盘/CMSI棱镜评分卡,0.1569,2026-07-29
2667,同仁堂医养,Tongrentang Healthcare,5.52,谨慎申购,2026-07-07,-0.3909,中医医疗养老服务,5.5,3.35,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.5036,2026-07-29
1770,东方科脉,DKE,4.71,不申购,2026-07-09,0.0173,电子纸显示模组,78.64,80,listed,yfinance首日收盘/iFind发行价/AAStocks对账,0.2328,2026-07-29
6880,魔门塔,Momenta,8.66,重点申购,2026-07-08,0,智能驾驶软件(城市NOA),295.6,295.6,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.1543,2026-07-29
7656,瑞为技术,Reconova,4.88,不申购,2026-07-08,-0.0305,边缘AI视觉(18C),21.66,21,listed,yfinance首日收盘/iFind发行价/AAStocks对账,0.2640,2026-07-29
7687,易控智驾,EACON,5.51,谨慎申购,2026-07-08,0.0999,矿区无人驾驶,87.92,96.7,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.0065,2026-07-29
8090,宝盖新材,Baogai New Materials,4.12,不申购,2026-07-08,0.0338,复合材料工业制品(GEM),6.22,6.43,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.1897,2026-07-29
9971,基本半导体,BASiC Semiconductor,5.16,谨慎申购,2026-07-08,0.0506,碳化硅功率器件(18C),31.62,33.22,listed,yfinance首日收盘/iFind发行价/AAStocks对账,0.5414,2026-07-29
537,普源精电,RIGOL,6.7,推荐申购,2026-07-09,-0.3736,电子测量仪器(A+H),45.98,28.8,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.4776,2026-07-29
1377,鼎泰高科,DTECH,7.06,推荐申购,2026-07-09,-0.0179,PCB钻针(A+H),380,373.2,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.2684,2026-07-29
2475,立讯精密,Luxshare,5.35,谨慎申购,2026-07-09,-0.0155,消费电子精密制造(A+H),63.28,62.3,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.0921,2026-07-29
2797,齐云山食品,Qiyunshan Food,4.83,不申购,2026-07-09,1.625,休闲食品(南酸枣糕),8,21,listed,yfinance首日收盘/iFind发行价/AAStocks对账,5.6375,2026-07-29
3752,珞石机器人,ROKAE,5.02,谨慎申购,2026-07-09,0.1521,工业/协作机器人,38,43.78,listed,yfinance首日收盘/iFind发行价/AAStocks对账,0.3737,2026-07-29
6951,三环集团,CCTC,7.12,推荐申购,2026-07-09,0.0469,电子陶瓷元件(A+H),100.3,105,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.1171,2026-07-29
2249,晶合集成,Nexchip,7.26,推荐申购,2026-07-10,0,晶圆代工DDIC(A+H),32.3,32.3,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.0898,2026-07-29
6745,滨化股份,BEFAR,4.37,不申购,2026-07-10,-0.1868,氯碱化工(A+H),3.48,2.83,listed,yfinance首日收盘/iFind发行价/AAStocks对账,-0.0460,2026-07-29
2523,永康控股,EKH,4.57,不申购,,,集装箱堆场(新加坡),,,withdrawn,发行人2026-07-08撤回发行/stock360+etnet,,
3308,中际旭创,ZHONGJI INNOLIGHT,7.54,重点申购,2026-07-30,,光模块(A+H),980.0,,pending,CMSI棱镜评分卡/07-28实际定价,,
