ticker,company,target,date,year,deal_size_mn,deal_type,ta_group,specialty,size_basis,note,source_url,upfront_musd,milestone_musd,deal_subtype,confidence
PFE,Pfizer,Warner-Lambert Company,2000-06-19,2000,90200.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,"Secured full rights to blockbuster statin Lipitor® and OTC brands, creating world’s #2 drug maker (ftc.gov, pharmaceuticalonline.com)",,,,,
BMY,Bristol Myers Squibb,Celgene,2019-11-20,2019,74000.0,M&A,Oncology,Immuno-Oncology (I/O),Actual,"Revlimid®, Pomalyst®, Abecma™ & Breyanzi™ CAR-T – scale in blood cancers and cell therapy (news.bms.com)",,,,,
PFE,Pfizer,Wyeth,2009-01-01,2009,68000.0,M&A,Vaccines,Vaccines,Actual,"Added Prevnar® pneumococcal franchise, Enbrel® royalty stream and biologics manufacturing scale (pfizer.com, reuters.com)",,,,,
SNY,Sanofi,Aventis,2004-08-12,2004,66503.5,M&A,Other,Other,Actual,"Mega-merger: added Lantus®, Allegra®, world-class vaccines unit (money.cnn.com)",,,,,
ABBV,AbbVie,Allergan,2020-05-08,2020,64084.0,M&A,Dermatology/Aesthetics,Aesthetics,Actual,"Botox®, Juvederm® and migraine drug Ubrelvy® — cash engine beyond Humira",,,,,
PFE,Pfizer,Pharmacia,2003-04-16,2003,60000.0,M&A,Other,Other,Actual,"Brought Celebrex® (COX-2) & Detrol®; strengthened ophthalmology pipeline (money.cnn.com, pfizer.com)",,,,,
ROG,Roche,Genentech,2009-03-26,2009,46800.0,M&A,Oncology,Oncology,Actual,"Access to pioneering mAb R&D (Herceptin®, Rituxan®) and large-scale mammalian-cell manufacturing.",,,,,
MRK,Merck & Co,Schering-Plough,2009-11-03,2009,45700.0,M&A,Other,Other,Actual,"Transformational 2009 reverse-merger added Remicade®, Claritin® and a broad vaccines / women’s-health franchise",,,,,
PFE,Pfizer,Seagen,2023-12-14,2023,43400.0,M&A,Oncology,Oncology,Actual,"Four marketed antibody-drug conjugates & world-class ADC platform (PADCEV®, ADCETRIS®) (pfizer.com, wsj.com)",,,,,
AZN,AstraZeneca,Alexion,2021-07-21,2021,41058.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Hematology,Actual,"C5-complement mAbs Soliris®/Ultomiris® for PNH, aHUS & other rare blood/immune disorders",,,,,
JNJ,Johnson & Johnson,Actelion Pharmaceuticals,2017-06-16,2017,29600.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,"PAH franchise — Opsumit® (macitentan), Uptravi® (selexipag) & Tracleer® (bosentan) to build a durable rare-lung pillar (jnj.com, prnewswire.com)",,,,,
AMGN,Amgen,Horizon Therapeutics,2023-10-06,2023,27800.0,M&A,Rare Disease,Rare Disease,Actual,"Tepezza, Krystexxa, Uplizna: A portfolio of commercial-stage, high-growth rare disease drugs.",,,,,
ABBV,AbbVie,Pharmacyclics,2015-05-26,2015,20770.0,M&A,Oncology,Oncology,Actual,Imbruvica® first-in-class BTK inhibitor anchoring blood-cancer franchise,,,,,
SNY,Sanofi,Genzyme,2011-04-08,2011,20100.0,M&A,Rare Disease,Rare-Disease,Actual,"Cerezyme®, Fabrazyme®, Myozyme® – created a lysosomal-storage-disorder pillar (news.sanofi.us, reuters.com)",,,,,
AZN,AstraZeneca,CSPC Pharmaceutical Group (HKEX:1093) — obesity peptide portfolio,2026-01-30,2026,18500.0,BD,Cardiovascular/Metabolic,"Metabolic / obesity & T2D (GLP1R/GIPR, S",Actual,,https://www.biopharmadive.com/news/astrazeneca-obesity-deal-china-cspc-ai/810942/,1200.0,17300.0,BD-collaboration,HIGH
AMGN,Amgen,Immunex,2002-07-15,2002,17771.8,M&A,Immunology,Immunology,Actual,Enbrel (etanercept): A foundational TNF-alpha inhibitor for autoimmune diseases.,,,,,
PFE,Pfizer,Hospira,2015-09-03,2015,17000.0,M&A,Other,Biosimilars,Actual,Leading hospital generics & biosimilar pipeline to reinforce global injectables unit (pfizer.com),,,,,
JNJ,Johnson & Johnson,Pfizer(Consumer Healthcare Business,2006-12-20,2006,16600.0,M&A,Consumer Health,Consumer Health,Actual,"Listerine®, Sudafed®, Nicorette® & Centrum® brands add global #1 OTC footprint (chiefmarketer.com, biospace.com)",,,,,
NVS,Novartis,GlaxoSmithKline(Oncology Business),2015-03-02,2015,16000.0,M&A,Oncology,Oncology,Actual,Entire GSK oncology portfolio incl. Tafinlar® + Mekinist® BRAF/MEK franchise and ofatumumab rights; seeded Novartis’ post-Glivec oncology growth. (novartis.com),,,,,
JNJ,Johnson & Johnson,Intra-cellular Therapies,2025-04-02,2025,15023.8,M&A,CNS/Neurology,Cns,Actual,"Caplyta® (lumateperone) for bipolar depression & schizophrenia; pipeline ITI-1284 for Alzheimer’s psychosis (investor.jnj.com, wsj.com)",,,,,
PFE,Pfizer,Medivation,2016-09-28,2016,14300.0,M&A,Oncology,Oncology,Actual,Blockbuster androgen-receptor inhibitor Xtandi® and PARP combo IP (pfizer.com),,,,,
BMY,Bristol Myers Squibb,Karuna Therapeutics,2024-03-18,2024,13793.0,M&A,CNS/Neurology,Cns,Actual,KarXT (xanomeline–trospium) first-in-class M1/M4 PAM for schizophrenia psychosis (news.bms.com),,,,,
AZN,AstraZeneca,Medlmmune,2007-06-19,2007,13791.0,M&A,Other,Other,Actual,"Synagis® (RSV), FluMist®, and an adenoviral-vector vaccine/biologics platform",,,,,
BMY,Bristol Myers Squibb,MyoKardia,2020-11-17,2020,13100.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,Mavacamten (Camzyos™) allosteric inhibitor for obstructive HCM (news.bms.com),,,,,
JNJ,Johnson & Johnson,Alza (Drug Delivery),2001-06-22,2001,12300.0,M&A,Other,Other,Actual,"OROS® controlled-release platform (Concerta®) plus Nicoderm® patches to seed long-acting portfolios (forbes.com, money.cnn.com)",,,,,
PFE,Pfizer,Mylan,2020-11-16,2020,12000.0,M&A,Gene/Cell Therapy,Generics,Actual,Spun-off legacy products into Viatris to streamline growth profile (pfizer.com),,,,,
PFE,Pfizer,Biohaven (NYS: BHVN),2022-10-03,2022,11600.0,M&A,CNS/Neurology,Cns,Actual,Nurtec®/Vydura™ (rimegepant) oral CGRP franchise and BHV-7000 portfolio (pfizer.com),,,,,
SNY,Sanofi,Bioverativ Therapeutics,2018-03-08,2018,11600.0,M&A,Rare Disease,Rare-Disease,Actual,"Eloctate® / Alprolix® long-acting Fc-fusion factors for haemophilia A/B (fiercepharma.com, sanofi.com)",,,,,
MRK,Merck & Co,Acceleron Pharma,2021-11-19,2021,11514.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Hematology,Actual,Sotatercept (activin-signal modulator) for pulmonary arterial hypertension and β-thalassemia,,,,,
PFE,Pfizer,Array BioPharma,2019-07-30,2019,11400.0,M&A,Oncology,Oncology,Actual,RAF/MEK combo Braftovi® + Mektovi® and KRAS-G12C follow-up (pfizer.com),,,,,
MRK,Merck & Co,Prometheus Biosciences,2023-04-15,2023,10800.0,M&A,Immunology,Immunology,Actual,PRA023 (MK-7240) anti-TL1A mAb for ulcerative colitis & Crohn’s,,,,,
