version,tick,seg_ret,note
v4,TVTX,6.2,
v4,CGON,-4.2,
v4,IMVT,-6.8,
v4,FOLD,0.0,"cash-locked at BioMarin deal $14.50 (delisted 2026-04-27); pick~deal price, seg~0%"
v4,INCY,-1.5,
v4,REGN,-6.5,
v4,BNTX,-17.5,
v5,QURE,64.4,
v5,ALMS,32.5,
v5,MIRM,25.0,
v5,RYTM,27.6,
v5,VRDN,20.1,
v5,VERA,13.7,
v5,CORT,65.4,
v5,PHVS,18.3,
v5,PGEN,25.1,
v5,SRPT,16.9,
v5,KALV,0.9,
v5,BNTX,3.8,
v5,VIR,17.6,
v5,XENE,30.5,
v5,CLDX,24.4,
v5,SRRK,17.4,
v5,MAZE,26.8,
v5,RAPP,13.4,
v5,EWTX,46.1,
v5,SYRE,31.8,
v5,ZBIO,60.5,
v5,INBX,-4.4,
v5,ELVN,26.2,
v5,TYRA,-10.9,
v5,GPCR,42.5,
v5,WVE,-6.8,
v5,PTCT,25.3,
v5,SION,11.7,
v5,HRMY,27.0,
v5,DNTH,16.1,
v5,CELC,-17.6,
v5,IBRX,11.3,
v5,EYPT,20.2,
v5,OLMA,-9.6,
v5,DBVT,-18.2,
v5,ANNX,14.0,
v5,NVAX,3.8,
v5,BIIB,3.1,
v5,BHVN,91.7,
v5,ATAI,32.8,
v5,ORIC,34.2,
v5,MANE,25.3,
v5,COAG,32.5,
v5,KOD,8.3,
v5,MPLT,38.5,
v5,DFTX,130.8,
