ticker,name,score,pick_date,benchmark,yf_sym,price_at_decision,source_skill
AGIO,AGIO,,2026-05-15,XBI,AGIO,28.729999542236328,catalyst-monitor
ALMS,ALMS,,2026-05-15,XBI,ALMS,24.709999084472656,catalyst-monitor
APGE,APGE,,2026-05-15,XBI,APGE,83.91000366210938,catalyst-monitor
ARGX,ARGX,,2026-05-15,XBI,ARGX,834.4500122070312,catalyst-monitor
ARWR,ARWR,,2026-05-15,XBI,ARWR,79.69000244140625,catalyst-monitor
BMRN,BMRN,,2026-05-15,XBI,BMRN,54.880001068115234,catalyst-monitor
BNTX,BNTX,,2026-05-15,XBI,BNTX,105.19000244140625,catalyst-monitor
CELC,CELC,,2026-05-15,XBI,CELC,120.08999633789062,catalyst-monitor
COGT,COGT,,2026-05-15,XBI,COGT,34.189998626708984,catalyst-monitor
CORT,CORT,,2026-05-15,XBI,CORT,46.34000015258789,catalyst-monitor
CRNX,CRNX,,2026-05-15,XBI,CRNX,38.310001373291016,catalyst-monitor
CYTK,CYTK,,2026-05-15,XBI,CYTK,78.63999938964844,catalyst-monitor
DNTH,DNTH,,2026-05-15,XBI,DNTH,91.91999816894531,catalyst-monitor
EWTX,EWTX,,2026-05-15,XBI,EWTX,33.970001220703125,catalyst-monitor
FOLD,FOLD,,2026-05-15,XBI,FOLD,14.460000038146973,catalyst-monitor
GERN,GERN,,2026-05-15,XBI,GERN,1.399999976158142,catalyst-monitor
GMAB,GMAB,,2026-05-15,XBI,GMAB,27.90999984741211,catalyst-monitor
GPCR,GPCR,,2026-05-15,XBI,GPCR,48.220001220703125,catalyst-monitor
IMCR,IMCR,,2026-05-15,XBI,IMCR,28.760000228881836,catalyst-monitor
INCY,INCY,,2026-05-15,XBI,INCY,97.62999725341797,catalyst-monitor
IONS,IONS,,2026-05-15,XBI,IONS,74.87000274658203,catalyst-monitor
IRON,IRON,,2026-05-15,XBI,IRON,69.69999694824219,catalyst-monitor
JAZZ,JAZZ,,2026-05-15,XBI,JAZZ,231.0500030517578,catalyst-monitor
MIRM,MIRM,,2026-05-15,XBI,MIRM,95.70999908447266,catalyst-monitor
MLTX,MLTX,,2026-05-15,XBI,MLTX,18.389999389648438,catalyst-monitor
MRNA,MRNA,,2026-05-15,XBI,MRNA,50.029998779296875,catalyst-monitor
NAMS,NAMS,,2026-05-15,XBI,NAMS,36.880001068115234,catalyst-monitor
ONC,ONC,,2026-05-15,XBI,ONC,318.07000732421875,catalyst-monitor
PTCT,PTCT,,2026-05-15,XBI,PTCT,72.31999969482422,catalyst-monitor
RARE,RARE,,2026-05-15,XBI,RARE,25.799999237060547,catalyst-monitor
REGN,REGN,,2026-05-15,XBI,REGN,749.4099731445312,catalyst-monitor
ROIV,ROIV,,2026-05-15,XBI,ROIV,29.5,catalyst-monitor
RVMD,RVMD,,2026-05-15,XBI,RVMD,146.22999572753906,catalyst-monitor
SNDX,SNDX,,2026-05-15,XBI,SNDX,20.549999237060547,catalyst-monitor
SYRE,SYRE,,2026-05-15,XBI,SYRE,73.38999938964844,catalyst-monitor
TLX,TLX,,2026-05-15,XBI,TLX,10.859999656677246,catalyst-monitor
TNGX,TNGX,,2026-05-15,XBI,TNGX,26.389999389648438,catalyst-monitor
TVTX,TVTX,,2026-05-15,XBI,TVTX,40.290000915527344,catalyst-monitor
VRTX,VRTX,,2026-05-15,XBI,VRTX,439.17999267578125,catalyst-monitor
XENE,XENE,,2026-05-15,XBI,XENE,57.09000015258789,catalyst-monitor
