rank,ticker,name,score,pick_date,benchmark,yf_sym
1,IMCR,Immunocore,8.70,2026-07-09,XBI,IMCR
2,CYTK,Cytokinetics,8.44,2026-07-09,XBI,CYTK
3,DNLI,Denali Therapeutics,8.28,2026-07-09,XBI,DNLI
4,NAMS,NewAmsterdam Pharma,8.22,2026-07-09,XBI,NAMS
5,RAPP,Rapport Tx,8.19,2026-07-09,XBI,RAPP
6,XENE,Xenon Pharma,8.18,2026-07-09,XBI,XENE
7,IRON,Disc Medicine,8.15,2026-07-09,XBI,IRON
8,QURE,uniQure,8.05,2026-07-09,XBI,QURE
9,BNTX,BioNTech,8.00,2026-07-09,XBI,BNTX
10,CLDX,Celldex,7.96,2026-07-09,XBI,CLDX
11,SRRK,Scholar Rock,7.92,2026-07-09,XBI,SRRK
12,MLYS,Mineralys Therapeutics,7.90,2026-07-09,XBI,MLYS
13,MIRM,Mirum Pharma,7.88,2026-07-09,XBI,MIRM
14,BBIO,BridgeBio,7.80,2026-07-09,XBI,BBIO
15,RYTM,Rhythm Pharma,7.56,2026-07-09,XBI,RYTM
16,PHVS,Pharvaris,7.50,2026-07-09,XBI,PHVS
17,SNDX,Syndax,7.45,2026-07-09,XBI,SNDX
18,EWTX,Edgewise,7.39,2026-07-09,XBI,EWTX
19,MAZE,Maze Tx,7.30,2026-07-09,XBI,MAZE
20,GMAB,Genmab,7.20,2026-07-09,XBI,GMAB
21,ALNY,Alnylam (人工加入),7.50,2026-07-09,XBI,ALNY
22,GPCR,Structure Tx (人工加入),7.00,2026-07-09,XBI,GPCR
